model_number,model_type,precision,precision_std,recall,recall_std,roc_auc,roc_auc_std,accuracy,accuracy_std,f1,f1_std
model_1b,logistic_reg,0.8763515620310033,0.001088728717085815,0.783551006000706,0.0019497941513255679,0.83693289262549,0.0019261665881654124,0.7701810965021088,0.0017281578098179106,0.8273526420717596,0.0014125777909374158
model_1b,binary_tree,0.8628359630664786,0.0005780384800788697,0.9231909636427815,0.0033525553181941448,0.8702279125050753,0.002201907797008304,0.8428677747457207,0.001667257317726791,0.8919745938523078,0.001371096355961348
model_1b,xgboost,0.8980612462204716,0.0018815173180520527,0.8743381574302859,0.0017943191001960994,0.8949851706014318,0.0019382943713749429,0.841925080625155,0.0021402625197984235,0.8860352868306467,0.0015372365765656969
model_1b,rf,0.8713049222511222,0.0011718208532066334,0.9325097070243558,0.002396957893728037,0.8916375804597261,0.0018362977399868983,0.8557677995534607,0.0021983633251974033,0.9008641597447976,0.0015751464936831936
